J2,J3,Energy,Sigma,L,A1,A2,A3,B1,B2
-0.3,-0.3,-0.4620047709067626,5.752936825975525e-09,0.6821777166536186,0.5000209525664453,0.07695948219398788,0.017166885978711147,0.1369935742359551,0.07272271909874828
-0.3,-0.15,-0.46205573508864367,1.7250201606309324e-09,0.682305382992894,0.4999966837656181,0.07689105101101919,0.019790664868251193,0.13699386509957984,0.07314777517826179
-0.3,0.0,-0.46212486415042964,3.2618509334876864e-09,0.6825174789401243,0.4999634831026323,0.07679712470772077,0.02013283776466859,0.13696571923567258,0.07370548093616362
-0.3,0.14999999999999997,-0.4622238484725218,8.743367031401966e-10,0.682840244819392,0.4998986540810547,0.07671583366008146,0.028306395502881585,0.13691490095219158,0.07451102152733655
-0.3,0.3,-0.46237691366912254,3.297545932438106e-09,0.683388338315582,0.49974217343134364,0.07651674573398985,0.036056001549498035,0.13681103867709757,0.07576728821102066
-0.15,-0.3,-0.46257518368907513,1.1326841095811209e-09,0.6834623461589334,0.5016249137058906,0.08644175350035097,0.014055813279186646,0.14081079113295814,0.06541656306359075
-0.15,-0.15,-0.46260921332180704,9.299162173617264e-10,0.6835446378375282,0.5016150131289274,0.08644443421584849,0.016168633177748016,0.1407956148999472,0.06576413483622977
-0.15,0.0,-0.46265504321246476,4.674491703638854e-10,0.6836766419054857,0.5016048342849083,0.08639400759880658,0.01650029563393419,0.1407804251560538,0.06623425220609618
-0.15,0.14999999999999997,-0.4627200419216759,1.0187253153400765e-09,0.6838768155370464,0.5015760162655798,0.08633394198316627,0.022861134681638612,0.1407358051983596,0.06676703123222105
-0.15,0.3,-0.46281920264130433,1.4342248717780057e-09,0.6842086402010419,0.5014980005451338,0.08614330926542382,0.028829106460000444,0.14066543742265236,0.06771988112051823
0.0,-0.3,-0.46394849822613327,7.77100751759208e-10,0.6870132630059214,0.5031086738401419,0.08221645514621162,0.011425436938665233,0.14532737023251538,0.10398311557058164
0.0,-0.15,-0.46397093283887836,7.801288840561112e-12,0.6870619246890249,0.5031067313897051,0.0819840805174693,0.013073797897805002,0.14532221000231227,0.09696409356315216
0.0,0.0,-0.464000904594354,4.15488626535257e-13,0.6871430066120742,0.5031043506770674,0.08427722770792911,0.013081974813905911,0.14530475322980518,0.0960320494016216
0.0,0.14999999999999997,-0.4640429510839619,1.0672935239154635e-11,0.6872623215667523,0.5030908339759788,0.07753283255074106,0.018346847713361186,0.1452740162874799,0.07738140506709648
0.0,0.3,-0.46410611926918055,1.6663973685453832e-11,0.6874587259378313,0.5030524574211401,0.07626143119012063,0.022952262954704653,0.14521615815899014,0.06736276543391423
0.14999999999999997,-0.3,-0.4662587699119841,1.923714832876334e-09,0.6929217723934704,0.5044072565794944,0.11186597784832493,0.009195248082885667,0.15072124754559563,0.05501986581673081
0.14999999999999997,-0.15,-0.46627323790154096,8.616056659941176e-10,0.6929825002136377,0.5044241552756962,0.11192714642876166,0.010492763386469534,0.1507169124116212,0.05519053943861045
0.14999999999999997,0.0,-0.4662923806277164,3.6371299232696547e-10,0.6930191533575011,0.5044197164511658,0.11185019743379124,0.01073343421638442,0.15070093149666605,0.0554340706106657
0.14999999999999997,0.14999999999999997,-0.46631888573133984,3.0437195651379773e-10,0.6930993692215446,0.5044195492436163,0.11181666024250848,0.014465414226497676,0.15067516001639775,0.05572339981882399
0.14999999999999997,0.3,-0.4663579803570221,9.74045505251546e-10,0.6932138769387477,0.5044013951268234,0.11179028933651361,0.017950061790882522,0.15063697952087204,0.05615150939515241
0.3,-0.3,-0.4697423601304719,7.40225053395408e-09,0.7015651303340856,0.5053454405107258,0.128687956650999,0.0072424309944661225,0.1570953411389154,0.05126819089300719
0.3,-0.15,-0.46975133548611697,1.8066801833289274e-09,0.7016070796390179,0.5053646624590687,0.12866383326328246,0.008207605110905184,0.15709458964225578,0.05136135792654575
0.3,0.0,-0.46976307101819453,3.1242666324546747e-09,0.7016204532673951,0.5053657273293616,0.12859682071533135,0.008328255164450174,0.15709061154874826,0.051522968937094654
0.3,0.14999999999999997,-0.4697790659222992,6.68898919650412e-10,0.7016687352917678,0.5053647247751345,0.12859151200542446,0.011234364417658686,0.15706482625054777,0.05175854161972801
0.3,0.3,-0.46980214073113097,1.3018131959661053e-09,0.7017332985132143,0.5053542845630072,0.1285561319646634,0.013761980034531256,0.157025853559142,0.05208172048674818
