J2,J3,Energy,Sigma,L,A1,A2,B1,B2,B3
-0.3,-0.3,-0.48404513661511206,2.7925052413790084e-11,0.7496738250746864,0.5102016284038253,0.18974016695730356,0.1676743727866958,0.19868007117356465,0.24207753339877353
-0.3,-0.15,-0.47667579081390027,1.3652558671582048e-09,0.7263811208979802,0.5062200100197674,0.1565672351725764,0.1562396968150925,0.1897225604769173,0.2015511632686945
-0.3,0.0,-0.4715726636499842,7.542332475705948e-09,0.710229969506642,0.5026213698347857,0.1301832863482972,0.147291059521996,0.18185783905820724,0.21551626813847813
-0.3,0.14999999999999997,-0.46799326869478947,1.4810459210194083e-09,0.6990900438216253,0.49967513804950436,0.11011826261020147,0.1405847838367532,0.17540562679863092,0.14171539451230547
-0.3,0.3,-0.4654138207852317,6.63330317716924e-09,0.6912207523123612,0.49733027169143007,0.095041480740482,0.13560032271416061,0.1702036122332825,0.12119234355149262
-0.15,-0.3,-0.4858747707805182,2.1422909879744664e-09,0.7637420536370108,0.5178420967936128,0.24437163713393945,0.18818293982241469,0.20522456160844305,0.2922955454472446
-0.15,-0.15,-0.47514017705479894,4.5333610973938956e-10,0.729129683597603,0.5134964593739126,0.20124077443556382,0.17343660198914868,0.19424945325910886,0.24192886734568134
-0.15,0.0,-0.46796354944766083,7.538779565210172e-10,0.705528103026388,0.508638762521733,0.1635336876873769,0.16058277303371868,0.1838222257905976,0.20486585368827565
-0.15,0.14999999999999997,-0.46324258757304343,9.00929564950045e-10,0.6902179241043237,0.5043748664099619,0.13465148770942695,0.15078826111612106,0.17519274764701614,0.15970371558985938
-0.15,0.3,-0.4600589674079383,5.231028810999321e-09,0.6801783776084642,0.5010012758337996,0.11362234728503345,0.14368740661433607,0.1685788098686628,0.1325597404660301
0.0,-0.3,-0.49569880873367056,9.634739659448174e-12,0.8009113436887736,0.5231471137221533,0.19863597424754292,0.21046559328545955,-0.44829993339987595,0.35082962239635657
0.0,-0.15,-0.4795571032607575,7.513060935993354e-11,0.7514167772574805,0.5210878253011307,0.21410444445570498,0.1965367341743006,-0.49031283839231354,0.30258464479127545
0.0,0.0,-0.4682043609133065,2.835099944783823e-09,0.7139734922937039,0.51638739804943,0.22324555919564648,0.18046178912603678,-0.4966910265648389,0.30109922483909307
0.0,0.14999999999999997,-0.4609304268579179,6.983274619895702e-10,0.6894804527031442,0.5107627111257139,0.2613264273569398,0.16601575553004544,-0.49950727721469457,0.1947976388572061
0.0,0.3,-0.4563654814286502,3.569807074619174e-09,0.6744488261409335,0.5058728062804818,0.2993822606756143,0.15521353258762194,-0.49979134803153535,0.1554297534598304
0.14999999999999997,-0.3,-0.515577888171031,1.2068376518193962e-09,0.8586705606508651,0.5227139744584514,0.3632341962468191,0.2271727411858649,0.22172990864127468,0.3978519046642471
0.14999999999999997,-0.15,-0.49360360722544405,3.80959749592725e-10,0.7986465960320169,0.5242023297740195,0.33329911566441967,0.21858390272494588,0.21399844088499576,0.3651995009497418
0.14999999999999997,0.0,-0.4759585295288141,3.4311141082339796e-10,0.745744918315827,0.5232194277633487,0.2908283009123886,0.20565891002155695,0.20276771122737808,0.4214204249994107
0.14999999999999997,0.14999999999999997,-0.4634753716592487,7.535089117961048e-10,0.704829149967035,0.5188529610864792,0.23869377060506675,0.18899537959570387,0.1887060300351433,0.2572921897953259
0.14999999999999997,0.3,-0.4556586401418035,5.498391781430024e-10,0.6783852893961587,0.5127621168694816,0.19037038519798924,0.1730009343102577,0.17527151018510168,0.19991859061778894
0.3,-0.3,-0.5447821862625525,6.95078157362095e-09,0.9291179003476602,0.5173962321277376,0.40233569610516257,0.23659428249877626,0.22611264199190553,0.4277363408770941
0.3,-0.15,-0.5184587295338164,8.467133366202034e-10,0.8641225351974314,0.5205088198636659,0.38497788190366933,0.23242077474274017,0.22121429956942834,0.4087297484106992
0.3,0.0,-0.4949853203214041,1.363625170604928e-09,0.8024669005109532,0.5229842379754008,0.3589872281298124,0.22573299560146023,0.21394398337707252,0.4345154408042281
0.3,0.14999999999999997,-0.47554558662242885,1.5305397512003785e-09,0.746830666193359,0.5235462648494582,0.31994627616825455,0.21484214178936487,0.2031525836251376,0.3363800886207235
0.3,0.3,-0.46134279848788884,3.51249583956062e-09,0.7021182883913083,0.5204890104888902,0.26724878570789634,0.19897426474044166,0.188529231248106,0.27587075513820813
