J2,J3,Energy,Sigma,L,A1,A3,B1,B2,B3
-0.3,-0.3,-0.5417201983678424,7.899816670290423e-09,0.8950911415458899,0.5236696161124859,0.15349022055378875,0.12861432051936117,0.2359708462340674,6.781850773401985e-05
-0.3,0.0,-0.5496811498936004,6.677121451729253e-10,0.9157291340163213,0.5236900891073585,0.15709609883432613,0.128657063086082,0.23901680151908888,6.70885955691731e-05
-0.3,0.3,-0.5591024499756777,0.01111533153699862,0.9253454266248597,0.5132670814064875,0.23225350220041113,0.1333750079229023,0.23851200999956942,4.377356599751338e-05
0.0,-0.3,-0.5134914779529511,1.2268569628220267e-09,0.8216023983536634,0.5223212602248879,0.13906738842182614,0.11473821270058387,0.3102163371486443,7.028458750042664e-05
0.0,0.0,-0.5202557477461874,4.7962075872588575e-12,0.8408351772971226,0.5229756785745615,0.14264460173582716,0.11565250249343931,0.3138176200592162,6.866858470887634e-05
0.0,0.3,-0.5292489321005897,1.1207068635213513e-09,0.8651061257974035,0.5224293818578031,0.18489132389626753,0.11589420693309198,0.49088947165412783,-6.334165584275395e-05
0.3,-0.3,-0.4946045161968149,8.822298297098542e-09,0.7728508707425455,0.5167605639757772,0.11903538658700538,0.10070820462318873,0.15759359460035346,8.024887216982808e-05
0.3,0.0,-0.4997680757483016,6.054153078994628e-09,0.7885432791722958,0.5182760700320164,0.11706628342543748,0.1022828433694001,0.16598828300103413,7.816501332607234e-05
0.3,0.3,-0.5072138378199783,1.3938166995599354e-09,0.8102714599607541,0.5186658853330719,0.1714241814062516,0.10340359894837478,0.17438336424168943,-7.195288327765975e-05
-0.3,-0.15,-0.5454681486943197,6.266345714862584e-10,0.9049344165199639,0.5237880891353262,0.1626492174204273,0.1286958063976522,0.23758751956914737,0.00017680403624122586
-0.3,0.14999999999999997,-0.5543790755112145,1.381118291943887e-05,0.92534257386853,0.5227062004296723,0.1763875181553562,0.1285607465569739,0.23841471536445824,-0.0001653758100848725
-0.3,0.14999999999999997,-1.194039197149488e-08,1.2271785103943787e-09,6.555195508771621e-09,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.3,0.3,-1.0815625808066509e-08,3.811099439270196e-09,6.555195508771621e-09,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.15,-0.3,-1.5314690461779995e-08,3.811099439270196e-09,6.555195508771621e-09,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.15,-0.15,-1.4189924298351625e-08,1.2271785103943795e-09,6.555195508771621e-09,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.15,0.0,-9.828871329308924e-06,0.015917386493647424,8.056413782649975e-06,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.15,0.14999999999999997,-3.5128007846512936e-08,1.3210570097381821e-08,6.555195508771621e-09,0.0,0.0,0.0,0.0,0.0003831241472331538
-0.15,0.3,-5.714562467548264e-08,5.28422803895273e-08,6.555195508771621e-09,0.0,0.0,0.0,0.0,0.0003831241472331538
-0.3,0.14999999999999997,-10.000000011940392,1.2271784753592125e-09,6.555195508771621e-09,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.3,0.3,-10.000000010815626,3.811099392066035e-09,6.555195508771621e-09,4.768826490416569e-06,9.23810548864792e-05,3.5392765603154823e-07,0.0,-3.2184129822261816e-05
-0.3,0.14999999999999997,-0.5543923451304822,1.4776854971926097e-05,0.9253176403796827,0.5226496141718279,0.1771715831107411,0.12860681585364533,0.23840089083635685,5.876935907028216e-05
-0.3,0.14999999999999997,-0.5552064151466618,0.00010454447548483524,0.9253168836864468,0.52180001990995,0.15646581124075137,0.12774177858391483,0.23939534779864072,6.778667495277702e-05
-0.3,0.3,-0.560978461438275,0.0017910145957637377,0.9253109315200579,0.5194341812095644,0.13754641705787493,0.1276610847784314,0.22128158565695263,0.00019563872782991354
-0.15,-0.3,-0.5280870308448674,1.8712903806216884e-08,0.8608677784901775,0.5242477159928112,0.1490535763129677,0.12139005474903987,0.22040081365472064,0.00019945517323222026
