J2,J3,Energy,Sigma,L,A1,A2,B1,B2,B3
-0.3,-0.3,-0.5239739892227914,1.9360370192193385e-11,0.8673139169583903,0.5225787751618324,-1.1620613722899986e-06,0.2148799931545288,0.21964218806392843,-0.37053084497792443
-0.3,-0.15,-0.5054056505879172,1.7002424037030378e-11,0.8138751754403029,0.5218167389269934,-1.4752532209242078e-06,0.2029452234158901,0.21123917074415788,-0.3308259634656785
-0.3,0.0,-0.4912514637568989,4.952579395542425e-12,0.7702966094349117,0.5186098607831022,-1.5513017396932848e-06,0.1882155835140127,0.20078819753075922,-0.3475279137547562
-0.3,0.14999999999999997,-0.48136343488131006,1.0918473731392828e-11,0.7387483972988466,0.513747118840642,-1.95026164423078e-06,0.17335742657742617,0.18993176836026315,-0.23158172568363497
-0.3,0.3,-0.47476042966897897,1.2739587737027513e-11,0.7177777232418333,0.5088092966620249,-2.370103431779855e-06,0.1610095202436055,0.18049670414612257,-0.18896906170822964
-0.15,-0.3,-0.5096606420006584,1.4593134548425272e-13,0.8339339122704357,0.5229378651003928,-3.777015802069595e-07,0.21282579646955546,0.2171357879013687,-0.3614162757391718
-0.15,-0.15,-0.4922398463795239,7.030365047843782e-13,0.7822964415619883,0.5215998347869663,-3.685205448271724e-07,0.19996358835066325,0.20765116379057652,-0.3177451947855559
-0.15,0.0,-0.47943201888047104,6.444667287385803e-13,0.7415569903949236,0.5176944933432158,-4.3809034363862234e-07,0.18455011733522184,0.19608948998823666,-0.30923496967111297
-0.15,0.14999999999999997,-0.4708382611322004,3.312090410966812e-13,0.7133727326163513,0.5124177938172635,-4.1490145093215214e-07,0.16980389788365713,0.18459071933391158,-0.21387332715131002
-0.15,0.3,-0.4652731592347058,4.4900133654803317e-13,0.6953611090961586,0.5074598757071178,-4.502964519420482e-07,0.1581585638031421,0.17510658576612628,-0.17251714176083632
0.0,-0.3,-0.495698808338218,1.398556908706274e-12,0.8009160779832375,0.5231471185721916,-9.038297622619034e-08,0.2104674391547388,0.18827481917895894,-0.3508521409652473
0.0,-0.15,-0.47955710343364577,1.4037800486730382e-12,0.7514270218887457,0.5210930239979504,-9.74206679502814e-08,0.19653475300669182,0.205921608655834,-0.3025800961094278
0.0,0.0,-0.46820436108234387,9.532397324095569e-15,0.7139959240510766,0.5163974794660867,-1.015835181869895e-07,0.18045657180212332,0.21272873579522508,-0.3011273466613936
0.0,0.14999999999999997,-0.4609304268824372,1.438659315734288e-13,0.6894698040660947,0.5107559579477496,-1.189061574697624e-07,0.16601191894720166,0.24016066666351585,-0.19481682066841566
0.0,0.3,-0.4563654814480656,7.036060741380916e-13,0.6744342672444947,0.5058608206637447,-1.363530456286758e-07,0.155203724628513,0.2454026377536655,-0.15544213580844896
0.14999999999999997,-0.3,-0.4821406397380634,2.0660067987792546e-11,0.7683648249766407,0.5231598289141636,-1.6474829035028573e-08,0.20772894100599423,0.2108366907723238,-0.3385605987115473
0.14999999999999997,-0.15,-0.46742776647122286,3.1372778227648834e-12,0.7214463128162796,0.5202066436009494,-1.8381756916979506e-08,0.19255596113000448,0.19855067521353587,-0.2849464022546621
0.14999999999999997,0.0,-0.45763042124647474,2.383005446393461e-13,0.6878452846406171,0.5146574425761973,-1.9344695616712507e-08,0.1759076499594127,0.18463127275998945,-0.293543327376918
0.14999999999999997,0.14999999999999997,-0.4516693249491124,1.1488881074665826e-13,0.6671833554962043,0.5087589271887435,-2.701639400037103e-08,0.16201676077021726,0.17253689603713632,-0.17459439669469062
0.14999999999999997,0.3,-0.44804007000522045,3.2512148334398695e-13,0.6550443691731377,0.5040386624020211,-3.3146951182970326e-08,0.15218530654904142,0.16366651176613303,-0.13799830481943182
0.3,-0.3,-0.4690504218394127,3.588196066082089e-12,0.7363919584718146,0.5228940270380894,-2.747595481052492e-08,0.2044907596331612,0.2068126836142558,-0.3241132975418768
0.3,-0.15,-0.45593395523112884,4.2908480764032196e-13,0.6925763119586147,0.5188248145415956,-3.9308020611854795e-08,0.18790439618341426,0.19274875003231667,-0.2643394947177885
0.3,0.0,-0.4477697099568576,7.673861542000811e-13,0.6633497650822192,0.5124228415800467,-4.104759390646274e-08,0.17089766428119013,0.1778207400047975,-0.2998270173660412
0.3,0.14999999999999997,-0.4430727679613571,4.1863173859621395e-14,0.6466335179454045,0.5064485880179209,-7.306794856615371e-08,0.15787421657826212,0.1659518372617004,-0.153521305028162
0.3,0.3,-0.44028871351009724,5.991645041790514e-13,0.6372163498739875,0.502036877322513,-8.663030540659061e-08,0.14915602584502982,0.15780005721708534,-0.12052059422465627
